,Symbol,Sector,Date,Quarter,Intraday,SurpriseVal,Volume,Q
82,ABC,Health Care,2006-04-26,Q2/2006,-0.0179543916017,0.005,9087616.0,2006-Q2
83,ABC,Health Care,2006-07-25,Q3/2006,-0.0022798200462,0.018,5506615.0,2006-Q3
84,ABC,Health Care,2007-01-24,Q1/2007,0.0385236866221,0.046,10296548.0,2007-Q1
85,ABC,Health Care,2007-04-25,Q2/2007,-0.0494638561257,0.002,10785062.0,2007-Q2
86,ABC,Health Care,2008-01-24,Q1/2008,0.0337001937677,-0.003,4058183.0,2008-Q1
87,ABC,Health Care,2008-04-23,Q2/2008,-0.0704537331165,0.026,6523546.0,2008-Q2
88,ABC,Health Care,2009-01-22,Q1/2009,-0.00530696546252,0.017,10168352.0,2009-Q1
89,ABC,Health Care,2009-11-03,Q4/2009,-0.0236120597131,0.039,5409409.0,2009-Q4
90,ABC,Health Care,2010-01-26,Q1/2010,-0.015792246895,0.061,5298124.0,2010-Q1
91,ABC,Health Care,2010-04-22,Q2/2010,0.00319039348186,0.08,8376486.0,2010-Q2
92,ABC,Health Care,2010-07-27,Q3/2010,-0.0470588636216,0.029,19483021.0,2010-Q3
93,ABC,Health Care,2011-02-04,Q1/2011,0.0330715074666,0.036,4221110.0,2011-Q1
94,ABC,Health Care,2011-11-01,Q4/2011,0.0129082608187,-0.016,2537231.0,2011-Q4
95,ABC,Health Care,2012-01-26,Q1/2012,0.00360143425077,-0.008,6343839.0,2012-Q1
96,ABC,Health Care,2013-01-24,Q1/2013,-0.0045739807906,0.025,3336717.0,2013-Q1
97,ABC,Health Care,2013-07-24,Q3/2013,-0.0270919067215,-0.011,2937765.0,2013-Q3
98,ABT,Health Care,1999-04-08,Q1/1999,0.0525165980004,0.007,10244385.0,1999-Q1
99,ABT,Health Care,1999-07-09,Q2/1999,-0.0116925922059,0.0,14107432.0,1999-Q2
100,ABT,Health Care,1999-10-08,Q3/1999,0.0585261905942,-0.081,22832337.0,1999-Q3
101,ABT,Health Care,2000-04-11,Q1/2000,0.0354639526466,-0.001,11826711.0,2000-Q1
102,ABT,Health Care,2000-07-12,Q2/2000,0.0320927704294,-0.038,15987801.0,2000-Q2
103,ABT,Health Care,2000-10-10,Q3/2000,0.046844168311,0.001,11589780.0,2000-Q3
104,ABT,Health Care,2001-04-12,Q1/2001,-0.00782744825187,-0.001,12720217.0,2001-Q1
105,ABT,Health Care,2001-07-12,Q2/2001,-0.0199964456211,-0.001,20384764.0,2001-Q2
106,ABT,Health Care,2001-10-10,Q3/2001,0.0178151918559,0.0,11710259.0,2001-Q3
107,ABT,Health Care,2002-01-16,Q4/2001,0.0145464668188,0.0,15410135.0,2001-Q4
108,ABT,Health Care,2002-04-09,Q1/2002,-0.00453886511114,0.001,15014603.0,2002-Q1
109,ABT,Health Care,2002-07-11,Q2/2002,-0.0533430076319,-0.005,43816616.0,2002-Q2
110,ABT,Health Care,2002-10-09,Q3/2002,0.0393865296521,-0.001,22566880.0,2002-Q3
111,ABT,Health Care,2003-01-16,Q4/2002,0.0328923707213,-0.008,21569487.0,2002-Q4
112,ABT,Health Care,2003-04-09,Q1/2003,-0.00395646418591,-0.038,20274702.0,2003-Q1
113,ABT,Health Care,2003-07-10,Q2/2003,0.0144141298302,-0.359,15212756.0,2003-Q2
114,ABT,Health Care,2003-10-09,Q3/2003,-0.0133316849024,-0.053,15559992.0,2003-Q3
115,ABT,Health Care,2004-01-16,Q4/2003,-0.0112061926164,-0.027,27007905.0,2003-Q4
116,ABT,Health Care,2004-04-08,Q1/2004,-0.0230975527992,-0.033,18312151.0,2004-Q1
117,ABT,Health Care,2004-07-09,Q2/2004,-0.0227676440957,0.0,13999178.0,2004-Q2
118,ABT,Health Care,2004-10-14,Q3/2004,-0.00773870711224,0.003,8844738.0,2004-Q3
119,ABT,Health Care,2005-01-18,Q4/2004,-0.000213608599767,0.002,11724855.0,2004-Q4
120,ABT,Health Care,2005-04-12,Q1/2005,0.00460927093261,-0.005,9222881.0,2005-Q1
121,ABT,Health Care,2005-07-13,Q2/2005,-0.0279613733906,0.008,34301453.0,2005-Q2
122,ABT,Health Care,2005-10-19,Q3/2005,0.0423685332971,-0.003,19975794.0,2005-Q3
123,ABT,Health Care,2006-01-25,Q4/2005,0.0232672208877,0.002,26959940.0,2005-Q4
124,ABT,Health Care,2006-04-19,Q1/2006,0.00145778979047,-0.009,12000745.0,2006-Q1
125,ABT,Health Care,2006-07-19,Q2/2006,0.0351216719153,0.044,31458069.0,2006-Q2
126,ABT,Health Care,2006-10-18,Q3/2006,0.00294081542247,0.0,14903599.22,2006-Q3
127,ABT,Health Care,2007-01-24,Q4/2006,0.00393128306659,0.006,17834488.0,2006-Q4
128,ABT,Health Care,2007-04-18,Q1/2007,0.0118677307407,-0.005,28826783.0,2007-Q1
129,ABT,Health Care,2007-07-18,Q2/2007,-0.00389117660667,0.012,22476421.0,2007-Q2
130,ABT,Health Care,2007-10-17,Q3/2007,-0.0165076126646,0.004,31322444.05,2007-Q3
131,ABT,Health Care,2008-01-23,Q4/2007,0.0124001173567,0.016,28803691.65,2007-Q4
132,ABT,Health Care,2008-04-16,Q1/2008,-0.0224582701062,0.007,29699586.0,2008-Q1
133,ABT,Health Care,2008-07-16,Q2/2008,-0.0208197842496,0.054,26804352.0,2008-Q2
134,ABT,Health Care,2008-10-15,Q3/2008,-0.044384417557,0.014,30251051.0,2008-Q3
135,ABT,Health Care,2009-01-21,Q4/2008,0.035586474464,-0.001,29911830.0,2008-Q4
136,ABT,Health Care,2009-07-15,Q2/2009,-0.00614345432036,0.003,56909711.0,2009-Q2
137,ABT,Health Care,2009-10-14,Q3/2009,0.00728590730297,0.024,28672004.0,2009-Q3
138,ABT,Health Care,2010-01-27,Q4/2009,-0.000555953006887,0.009,25009078.0,2009-Q4
139,ABT,Health Care,2010-04-21,Q1/2010,-0.0196912090167,0.037,26859227.0,2010-Q1
140,ABT,Health Care,2010-07-21,Q2/2010,0.0203231996478,0.012,29933365.0,2010-Q2
141,ABT,Health Care,2010-10-20,Q3/2010,0.00459733189784,0.008,22243546.0,2010-Q3
142,ABT,Health Care,2011-01-26,Q4/2010,-0.0278278866188,0.009,41766101.0,2010-Q4
143,ABT,Health Care,2011-04-20,Q1/2011,-0.0196844819523,0.007,27278746.0,2011-Q1
144,ABT,Health Care,2011-07-20,Q2/2011,-0.0168957344991,0.009,18584422.0,2011-Q2
145,ABT,Health Care,2011-10-19,Q3/2011,-0.0412382888214,0.009,59019823.0,2011-Q3
146,ABT,Health Care,2012-01-25,Q4/2011,0.0,0.014,24126110.0,2011-Q4
